income,employment_status,family_size,education_level,health_condition,housing_type,disaster_risk
43278,informal,4,secondary,1,rented,low
32651,unemployed,4,primary,1,temporary,high
111426,employed,6,graduate,1,temporary,low
84597,employed,4,none,0,temporary,high
416526,employed,2,postgraduate,0,homeless,medium
148711,informal,5,graduate,1,temporary,high
10229,self_employed,10,primary,0,rented,high
67460,informal,3,graduate,0,rented,high
123886,informal,4,graduate,1,rented,high
25673,employed,4,primary,1,homeless,high
91856,self_employed,6,primary,0,rented,medium
96155,self_employed,6,secondary,1,temporary,medium
157487,employed,3,postgraduate,0,permanent,medium
377408,employed,2,postgraduate,0,rented,low
278349,employed,5,secondary,0,permanent,low
499487,employed,2,postgraduate,0,permanent,low
54971,unemployed,10,none,1,rented,high
28788,self_employed,10,none,0,temporary,high
52966,informal,4,none,1,temporary,medium
186574,employed,5,postgraduate,1,rented,low
92296,retired,5,secondary,0,temporary,high
43555,informal,8,primary,0,rented,high
273239,employed,3,graduate,0,permanent,low
402100,employed,5,postgraduate,0,permanent,low
101213,self_employed,3,graduate,1,temporary,medium
12161,unemployed,5,secondary,0,temporary,high
139523,employed,2,secondary,1,rented,low
223930,employed,5,graduate,1,rented,medium
30586,unemployed,10,none,0,rented,medium
447011,self_employed,3,graduate,0,permanent,low
25552,unemployed,8,secondary,1,rented,high
64356,unemployed,3,graduate,0,temporary,low
43962,unemployed,4,secondary,1,rented,low
51936,unemployed,6,primary,1,temporary,high
138033,unemployed,2,secondary,0,permanent,low
228075,employed,3,graduate,0,permanent,low
377317,unemployed,4,postgraduate,0,rented,medium
489240,employed,4,graduate,0,permanent,low
364979,employed,2,secondary,0,permanent,high
434030,retired,3,postgraduate,0,permanent,high
50286,retired,8,primary,1,rented,high
28897,self_employed,10,none,0,temporary,medium
86357,self_employed,6,none,1,homeless,high
57421,self_employed,7,primary,1,temporary,low
485381,self_employed,4,secondary,0,permanent,high
66158,self_employed,6,secondary,1,rented,high
92227,employed,3,none,0,rented,medium
381131,employed,2,secondary,1,permanent,low
12104,informal,6,graduate,1,rented,high
115574,employed,3,graduate,0,homeless,medium
137248,informal,4,secondary,0,rented,medium
13167,informal,6,secondary,1,temporary,medium
65144,employed,6,graduate,1,rented,medium
40053,employed,4,secondary,0,rented,medium
68010,informal,4,graduate,0,rented,medium
54226,unemployed,6,primary,0,temporary,high
140727,unemployed,6,postgraduate,0,rented,medium
59342,informal,3,postgraduate,1,rented,low
57698,retired,8,secondary,1,homeless,high
