income,family_size,previous_claims,benefits_received,loan_default,property_owned,age,aadhar_linked_accounts,phone_linked_accounts,rural_flag,location_changes,application_frequency,same_bank_accounts,ip_application_count
54034,5,2,1,0,0,36,1,1,1,0,1,0,2
36966,3,0,0,1,1,32,1,2,1,2,3,2,2
19945,5,2,2,0,0,28,4,1,0,1,2,3,5
16199,3,3,2,0,1,19,1,1,1,0,0,1,1
76455,4,5,2,1,0,46,3,2,1,1,6,1,6
15000,4,4,3,1,0,50,2,1,0,5,3,2,6
15000,2,1,1,1,0,25,2,1,1,0,2,0,1
69863,5,0,0,0,1,25,5,1,0,0,0,1,1
174910,4,0,0,1,0,18,1,3,0,2,4,2,5
32377,4,3,3,0,0,45,1,3,1,1,4,0,3
102694,6,4,4,0,2,27,3,2,0,1,4,1,1
36174,2,1,1,1,0,33,2,1,1,1,6,0,7
35980,3,4,4,0,0,40,4,1,0,3,3,1,3
38046,6,2,1,1,0,24,2,2,1,1,2,0,2
23277,6,0,0,0,0,36,2,2,0,0,0,3,2
15000,6,0,0,0,1,43,3,1,0,0,1,0,2
15000,5,0,0,0,0,18,1,1,0,1,2,0,0
42069,4,2,1,1,0,44,2,1,0,2,1,0,5
29671,3,2,1,0,1,23,1,3,0,1,7,1,0
53368,4,3,2,0,0,43,1,1,0,1,3,1,1
172996,3,5,4,0,0,37,4,2,1,2,2,1,2
90716,3,1,1,1,0,48,2,1,1,0,1,3,6
42681,4,0,0,1,1,28,1,3,1,2,8,0,4
84842,6,0,0,1,1,40,1,2,1,1,3,0,8
18443,4,1,1,0,1,37,2,1,0,0,2,1,0
24896,3,8,6,1,0,31,4,1,1,4,5,3,12
93297,9,0,0,1,0,32,1,4,0,2,2,2,9
39984,3,2,2,0,0,44,1,1,0,1,4,2,2
58395,6,4,4,1,0,52,1,2,0,2,7,2,6
32914,2,0,0,1,0,37,1,2,0,0,4,0,1
18912,2,0,0,0,0,31,1,1,0,0,1,2,1
33194,6,2,1,0,1,35,4,1,0,1,1,0,0
72655,5,0,0,0,1,43,1,1,0,1,2,1,1
15000,4,1,1,1,0,33,2,2,1,2,4,0,2
30791,6,0,0,1,0,18,1,3,1,0,0,1,4
36061,5,3,2,1,0,43,2,1,0,1,4,1,4
32246,2,0,0,0,1,33,3,1,0,1,1,1,4
41597,2,0,0,0,0,39,2,3,0,0,1,0,0
56094,4,1,1,0,1,50,3,1,0,0,1,2,1
29991,4,4,3,1,0,47,2,1,1,2,9,1,5
37953,4,1,1,0,0,68,3,1,1,1,4,0,1
66805,2,0,0,0,0,40,2,2,0,0,2,1,1
21983,2,3,1,1,1,32,2,1,1,0,2,0,5
15000,4,0,0,0,0,34,2,1,0,1,1,0,1
19162,10,1,1,1,0,36,1,2,1,0,3,0,3
15000,3,2,1,1,0,51,1,1,0,1,8,0,9
15000,2,2,1,0,0,27,1,1,0,1,3,1,1
15000,4,1,1,1,0,59,4,2,0,0,5,0,3
15000,3,0,0,0,1,39,2,1,0,0,2,0,0
132777,5,0,0,0,1,56,1,2,0,0,0,2,0
15000,3,0,0,1,0,44,2,1,0,1,4,0,3
91073,2,0,0,0,0,29,2,2,0,0,0,2,2
15000,2,4,1,1,1,51,2,1,0,5,6,1,6
31045,5,2,2,1,1,26,3,1,0,1,1,1,3
115564,3,2,2,0,0,40,3,1,0,2,1,3,0
290153,3,1,1,0,0,30,1,2,1,1,1,2,2
29850,2,5,5,1,0,27,1,1,1,4,7,0,6
113142,5,0,0,0,1,31,1,2,0,0,1,2,0
56094,4,0,0,1,0,51,1,1,0,1,1,1,4
24549,5,2,1,0,1,50,3,1,1,0,1,0,1
17281,6,5,1,0,0,45,3,1,0,2,3,0,3
60863,5,0,0,0,1,63,4,1,0,1,0,3,1
85725,2,2,1,1,0,25,1,3,0,3,2,2,3
33176,7,0,0,1,1,23,3,1,0,2,3,1,9
50121,4,1,1,0,0,46,1,1,0,0,0,1,1
21590,7,5,4,1,1,49,1,1,1,2,4,0,1
31620,4,2,2,0,0,29,3,4,0,3,0,1,0
15000,3,3,2,1,0,36,2,1,0,1,2,1,4
111244,1,5,1,1,1,49,2,3,0,2,7,0,5
55175,5,1,1,0,0,31,2,1,1,3,1,0,3
24672,3,1,1,0,1,56,3,2,0,0,4,0,2
118329,5,0,0,1,2,54,1,4,0,0,4,1,3
15000,5,0,0,0,1,51,1,1,1,0,1,2,1
120645,2,0,0,0,0,48,2,2,0,0,3,0,0
34293,4,5,5,1,0,37,1,1,0,0,6,0,5
20208,2,2,1,0,0,44,3,1,0,3,4,3,3
134154,2,2,2,0,0,24,1,3,0,2,1,1,5
28123,3,2,1,1,0,49,1,1,1,2,3,1,7
15000,3,2,2,1,0,19,1,2,0,3,4,0,3
52541,5,5,4,1,0,66,1,2,1,2,3,1,5
43439,1,2,1,1,0,54,2,2,0,3,5,1,6
54297,4,1,1,1,0,33,1,1,0,0,3,0,5
49611,3,4,1,0,0,52,1,3,1,0,2,0,1
22082,4,4,2,1,0,46,1,1,0,1,6,3,6
15000,2,6,6,1,2,32,3,2,1,1,5,0,2
38938,3,1,1,0,0,46,2,2,0,1,2,3,0
25568,6,4,2,1,0,51,1,3,0,1,6,0,7
34599,4,0,0,0,0,25,3,1,1,0,2,2,0
37768,3,1,1,1,0,35,1,1,0,2,2,0,6
20207,2,2,2,1,0,29,1,3,0,1,5,0,1
